attendee,title,start,end,expense,location,fiscal,overseas,region
David Green,NASP Southern California Conference 9th Annual Day Of Private Equity Education,3/28/2019,3/28/2019,$202,Los Angeles CA,FY18-19,N,
Herman Santos,NASP Southern California Conference 9th Annual Day Of Private Equity Education,3/28/2019,3/28/2019,$612,Los Angeles CA,FY18-19,N,
Joseph Kelly,NASP Southern California Conference 9th Annual Day Of Private Equity Education,3/28/2019,3/28/2019,$187,Los Angeles CA,FY18-19,N,
Vivian Gray,NASP Southern California Conference 9th Annual Day Of Private Equity Education,3/28/2019,3/28/2019,$612,Los Angeles CA,FY18-19,N,
James Harris,CALAPRS Advanced Principles of Pension Management for Trustees,3/27/2019,3/29/2019,"$2,225",Los Angeles CA,FY18-19,N,
Vivian Gray,SACRS Program and Board of Directors Meeting,3/18/2019,3/19/2019,"$1,126",Sacramento CA,FY18-19,N,
Joseph Kelly,NACD Retail Businesses with Adrian Bellamy,3/12/2019,3/12/2019,$85,Los Angeles CA,FY18-19,N,
Dave Muir,"CII Spring 2019 Conference March 4-6 (And for Scott Zdrazil: CII Board Meetings, SEC Meeting and Legislative Meetings March 6-8)",3/4/2019,3/8/2019,"$2,392",Washington DC,FY18-19,N,
Gina Sanchez,"CII Spring 2019 Conference March 4-6 (And for Scott Zdrazil: CII Board Meetings, SEC Meeting and Legislative Meetings March 6-8)",3/4/2019,3/8/2019,"$2,437",Washington DC,FY18-19,N,
Alan Bernstein,2019 PPI Study Mission to Mexico City,3/3/2019,3/5/2019,"$3,532","Mexico City, MX",FY18-19,Y,LA
David Green,2019 PPI Study Mission to Mexico City,3/3/2019,3/5/2019,"$4,445","Mexico City, MX",FY18-19,Y,LA
Herman Santos,2019 PPI Study Mission to Mexico City,3/3/2019,3/5/2019,"$3,381","Mexico City, MX",FY18-19,Y,LA
Wayne Moore,2019 PPI Study Mission to Mexico City,3/3/2019,3/5/2019,"$3,328","Mexico City, MX",FY18-19,Y,LA
Gina Sanchez,2019 Winter Roundtable,2/27/2019,3/1/2019,$900,Westlake Village CA,FY18-19,N,
Herman Santos,2019 Winter Roundtable,2/27/2019,3/1/2019,"$1,891",Westlake Village CA,FY18-19,N,
Wayne Moore,2019 Winter Roundtable,2/27/2019,3/1/2019,"$1,581",Westlake Village CA,FY18-19,N,
Gina Sanchez,2019 Milken Institute MENA Summit,2/12/2019,2/13/2019,"$14,860","Abu Dhabi, United Arab Emirates",FY18-19,Y,ME
Wayne Moore,2019 Milken Institute MENA Summit,2/12/2019,2/13/2019,"$8,472","Abu Dhabi, United Arab Emirates",FY18-19,Y,ME
Vivian Gray,SACRS Program Committee and Board of Directors Meeting,2/11/2019,2/12/2019,"$1,006",Sacramento CA,FY18-19,N,
David Green,NACD Economy and Stock Markets Insights,1/31/2019,1/31/2019,$85,Los Angeles CA,FY18-19,N,
Alan Bernstein,NCPERS 2019 Legislative Conference and Visit to Congress,1/27/2019,1/30/2019,"$3,209",Washington DC,FY18-19,N,
David Green,NCPERS 2019 Legislative Conference and Visit to Congress,1/27/2019,1/30/2019,$25,Washington DC,FY18-19,N,
Gina Sanchez,NCPERS 2019 Legislative Conference and Visit to Congress,1/27/2019,1/30/2019,"$3,625",Washington DC,FY18-19,N,
Herman Santos,NCPERS 2019 Legislative Conference and Visit to Congress,1/27/2019,1/30/2019,"$3,694",Washington DC,FY18-19,N,
Vivian Gray,NCPERS 2019 Legislative Conference and Visit to Congress,1/27/2019,1/30/2019,$50,Washington DC,FY18-19,N,
Wayne Moore,NCPERS 2019 Legislative Conference and Visit to Congress,1/27/2019,1/30/2019,"$2,965",Washington DC,FY18-19,N,
Vivian Gray,SACRS Board of Directors & Legislative Meeting,1/14/2019,1/15/2019,"$1,197",Sacramento CA,FY18-19,N,
Alan Bernstein,NACD Disruptive Personalities in the Boardroom,1/8/2019,1/8/2019,$85,Los Angeles CA,FY18-19,N,
David Green,NACD Disruptive Personalities in the Boardroom,1/8/2019,1/8/2019,$85,Los Angeles CA,FY18-19,N,
Vivian Gray,NACD Disruptive Personalities in the Boardroom,1/8/2019,1/8/2019,$85,Los Angeles CA,FY18-19,N,
Vivian Gray,SACRS Program Committee and Board of Directors Meeting,12/17/2018,12/18/2018,"$1,314",Sacramento CA,FY18-19,N,
