"id","country","age","month","visitors"
"148","USA","Total","1/1/2010",43065
"149","USA","0-20","1/1/2010",3747
"150","USA","21-30","1/1/2010",8359
"151","USA","31-40","1/1/2010",6817
"152","USA","41-50","1/1/2010",8452
"153","USA","51-60","1/1/2010",8175
"154","USA","61+","1/1/2010",4890
"155","Canada","Total","1/1/2010",8776
"156","Canada","0-20","1/1/2010",583
"157","Canada","21-30","1/1/2010",2530
"158","Canada","31-40","1/1/2010",1608
"159","Canada","41-50","1/1/2010",1445
"160","Canada","51-60","1/1/2010",1335
"161","Canada","61+","1/1/2010",677
"162","Mexico","Total","1/1/2010",379
"163","Mexico","0-20","1/1/2010",26
"164","Mexico","21-30","1/1/2010",89
"165","Mexico","31-40","1/1/2010",84
"166","Mexico","41-50","1/1/2010",64
"167","Mexico","51-60","1/1/2010",39
"168","Mexico","61+","1/1/2010",12
"169","Brazil","Total","1/1/2010",765
"170","Brazil","0-20","1/1/2010",96
"171","Brazil","21-30","1/1/2010",158
"172","Brazil","31-40","1/1/2010",140
"173","Brazil","41-50","1/1/2010",120
"174","Brazil","51-60","1/1/2010",69
"175","Brazil","61+","1/1/2010",25
"176","United Kingdom","Total","1/1/2010",7521
"177","United Kingdom","0-20","1/1/2010",528
"178","United Kingdom","21-30","1/1/2010",1553
"179","United Kingdom","31-40","1/1/2010",1588
"180","United Kingdom","41-50","1/1/2010",1582
"181","United Kingdom","51-60","1/1/2010",1216
"182","United Kingdom","61+","1/1/2010",689
"183","Germany","Total","1/1/2010",7643
"184","Germany","0-20","1/1/2010",420
"185","Germany","21-30","1/1/2010",1353
"186","Germany","31-40","1/1/2010",1471
"187","Germany","41-50","1/1/2010",1796
"188","Germany","51-60","1/1/2010",1021
"189","Germany","61+","1/1/2010",478
"190","France","Total","1/1/2010",4666
"191","France","0-20","1/1/2010",398
"192","France","21-30","1/1/2010",831
"193","France","31-40","1/1/2010",1062
"194","France","41-50","1/1/2010",877
"195","France","51-60","1/1/2010",581
"196","France","61+","1/1/2010",222
"197","Netherlands","Total","1/1/2010",1722
"198","Netherlands","0-20","1/1/2010",110
"199","Netherlands","21-30","1/1/2010",231
"200","Netherlands","31-40","1/1/2010",330
"201","Netherlands","41-50","1/1/2010",364
"202","Netherlands","51-60","1/1/2010",242
"203","Netherlands","61+","1/1/2010",100
"204","Sweden","Total","1/1/2010",849
"205","Sweden","0-20","1/1/2010",43
"206","Sweden","21-30","1/1/2010",126
"207","Sweden","31-40","1/1/2010",177
"208","Sweden","41-50","1/1/2010",184
"209","Sweden","51-60","1/1/2010",122
"210","Sweden","61+","1/1/2010",69
"211","Switzerland","Total","1/1/2010",626
"212","Switzerland","0-20","1/1/2010",40
"213","Switzerland","21-30","1/1/2010",120
"214","Switzerland","31-40","1/1/2010",129
"215","Switzerland","41-50","1/1/2010",162
"216","Switzerland","51-60","1/1/2010",99
"217","Switzerland","61+","1/1/2010",46
"218","Itary","Total","1/1/2010",1376
"219","Itary","0-20","1/1/2010",31
"220","Itary","21-30","1/1/2010",144
"221","Itary","31-40","1/1/2010",441
"222","Itary","41-50","1/1/2010",368
"223","Itary","51-60","1/1/2010",204
"224","Itary","61+","1/1/2010",96
"225","Denmark","Total","1/1/2010",505
"226","Denmark","0-20","1/1/2010",20
"227","Denmark","21-30","1/1/2010",56
"228","Denmark","31-40","1/1/2010",127
"229","Denmark","41-50","1/1/2010",127
