GEOID,CityProvinceID,CityProvince,MunicipalityID,Municipality,TotalPopulation,ForeignPopulation,ForeignerRate
1111010,11,Seoul,11010,Jongno-gu,156993,11554,7.36
1111020,11,Seoul,11020,Jung-gu,128065,11387,8.89
1111030,11,Seoul,11030,Yongsan-gu,235951,18717,7.93
1111040,11,Seoul,11040,Seong-dong,296086,11103,3.75
1111050,11,Seoul,11050,Gwangjin-gu,363354,19481,5.36
1111060,11,Seoul,11060,dongdaemun-gu,363687,16144,4.44
1111070,11,Seoul,11070,Jungnang-gu,418836,6373,1.52
1111080,11,Seoul,11080,Seongbuk-gu,466706,11630,2.49
1111090,11,Seoul,11090,Gangbuk-gu,335025,4699,1.4
1111100,11,Seoul,11100,dobong-gu,353709,2914,0.82
1111110,11,Seoul,11110,Nowon-gu,582552,4808,0.83
1111120,11,Seoul,11120,Eunpyeong-gu,498644,6515,1.31
1111130,11,Seoul,11130,Seodaemun-gu,310376,12793,4.12
1111140,11,Seoul,11140,Mapo-gu,385439,14030,3.64
1111150,11,Seoul,11150,Yangcheon-gu,486221,7004,1.44
1111160,11,Seoul,11160,Gangseo-gu,585160,9478,1.62
1111170,11,Seoul,11170,guro-gu,425831,44627,10.48
1111180,11,Seoul,11180,Geumcheon-gu,238463,27697,11.61
1111190,11,Seoul,11190,Yeongdeungpo-gu,382352,56696,14.83
1111200,11,Seoul,11200,dongjak-gu,407470,16800,4.12
1111210,11,Seoul,11210,Gwanak-gu,513186,27430,5.35
1111220,11,Seoul,11220,Seocho-gu,449678,9494,2.11
1111230,11,Seoul,11230,Gangnam-gu,578114,11564,2
1111240,11,Seoul,11240,Songpa-gu,664738,11864,1.78
1111250,11,Seoul,11250,Gang-dong,476597,7292,1.53
2121010,21,Busan,21010,Jung-gu,46737,1511,3.23
2121020,21,Busan,21020,Seo-gu,118115,1556,1.32
2121030,21,Busan,21030,dong-gu,94565,1772,1.87
2121040,21,Busan,21040,Yeongdo-gu,132102,1850,1.4
2121050,21,Busan,21050,Busanjin-gu,387378,2617,0.68
2121060,21,Busan,21060,dongnae-gu,275971,1086,0.39
2121070,21,Busan,21070,Nam-gu,286989,3560,1.24
2121080,21,Busan,21080,Buk-gu,306974,1446,0.47
2121090,21,Busan,21090,Haeundae-gu,423531,4932,1.16
2121100,21,Busan,21100,Saha-gu,343371,5018,1.46
2121110,21,Busan,21110,Geumjeong-gu,249856,3275,1.31
2121120,21,Busan,21120,Gangseo-gu,79619,5831,7.32
2121130,21,Busan,21130,Yeonje-gu,208012,917,0.44
2121140,21,Busan,21140,Suyeong-gu,178480,1496,0.84
2121150,21,Busan,21150,Sasang-gu,242953,4809,1.98
2121310,21,Busan,21310,Gijang-gun,144748,2058,1.42
2222010,22,Daegu,22010,Jung-gu,78812,905,1.15
2222020,22,Daegu,22020,dong-gu,347975,1939,0.56
2222030,22,Daegu,22030,Seo-gu,210770,2650,1.26
2222040,22,Daegu,22040,Nam-gu,163492,1229,0.75
2222050,22,Daegu,22050,Buk-gu,444375,5185,1.17
2222060,22,Daegu,22060,Suseong-gu,456505,1975,0.43
2222070,22,Daegu,22070,Dalseo-gu,606433,9416,1.55
2222310,22,Daegu,22310,Dalseong-gun,184902,4882,2.64
2323010,23,Incheon,23010,Jung-gu,111929,5186,4.63
2323020,23,Incheon,23020,dong-gu,73978,1276,1.72
2323030,23,Incheon,23030,Nam-gu,408305,8667,2.12
2323040,23,Incheon,23040,Yeonsu-gu,310703,7527,2.42
2323050,23,Incheon,23050,Nam-dong,514656,14894,2.89
2323060,23,Incheon,23060,Bupyeong-gu,556992,12672,2.28
2323070,23,Incheon,23070,Gyeyang-gu,339538,4000,1.18
2323080,23,Incheon,23080,Seo-gu,498686,13432,2.69
2323310,23,Incheon,23310,Ganghwa-gun,67118,774,1.15
2323320,23,Incheon,23320,Ongjin-gun,20703,182,0.88
2424010,24,Gwangju,24010,dong-gu,100786,1203,1.19
2424020,24,Gwangju,24020,Seo-gu,310317,1960,0.63
2424030,24,Gwangju,24030,Nam-gu,219815,1474,0.67
2424040,24,Gwangju,24040,Buk-gu,447685,4710,1.05
2424050,24,Gwangju,24050,Gwangsan-gu,397281,9773,2.46
2525010,25,Daejeon,25010,dong-gu,245493,3712,1.51
2525020,25,Daejeon,25020,Jung-gu,261165,1921,0.74
2525030,25,Daejeon,25030,Seo-gu,496132,3885,0.78
2525040,25,Daejeon,25040,Yuseong-gu,327461,6238,1.9
2525050,25,Daejeon,25050,Daedeok-gu,201558,2413,1.2
2626010,26,Ulsan,26010,Jung-gu,238825,3206,1.34
2626020,26,Ulsan,26020,Nam-gu,347759,7147,2.06
2626030,26,Ulsan,26030,dong-gu,176668,7472,4.23
2626040,26,Ulsan,26040,Buk-gu,188733,2831,1.5
2626310,26,Ulsan,26310,Ulju-gun,214392,10225,4.77
2727,27,Sejong,27,Sejong,156125,3249,2.08
3131010,31,Gyeonggi-do,31010,Suwon-si,1174228,46172,3.93
3131020,31,Gyeonggi-do,31020,Seongnam-si,974608,26657,2.74
3131030,31,Gyeonggi-do,31030,Uijeongbu-si,431112,4974,1.15
3131040,31,Gyeonggi-do,31040,Anyang-si,600809,10489,1.75
3131050,31,Gyeonggi-do,31050,Bucheon-si,855586,25886,3.03
3131060,31,Gyeonggi-do,31060,Gwangmyeong-si,348560,7572,2.17
3131070,31,Gyeonggi-do,31070,Pyeongtaek-si,449555,21104,4.69
3131080,31,Gyeonggi-do,31080,dongducheon-si,97595,3472,3.56
3131090,31,Gyeonggi-do,31090,Ansan-si,707876,70108,9.9
3131100,31,Gyeonggi-do,31100,Goyang-si,1006154,17361,1.73
3131110,31,Gyeonggi-do,31110,Gwacheon-si,70156,669,0.95
3131120,31,Gyeonggi-do,31120,guri-si,186820,1854,0.99
3131130,31,Gyeonggi-do,31130,Namyangju-si,636256,7432,1.17
3131140,31,Gyeonggi-do,31140,Osan-si,208565,9845,4.72
3131150,31,Gyeonggi-do,31150,siheung-si,394639,38728,9.81
3131160,31,Gyeonggi-do,31160,gunpo-si,288408,8946,3.1
3131170,31,Gyeonggi-do,31170,Uiwang-si,158482,1870,1.18
3131180,31,Gyeonggi-do,31180,Hanam-si,148896,2262,1.52
3131190,31,Gyeonggi-do,31190,Yongin-si,961026,21840,2.27
3131200,31,Gyeonggi-do,31200,Paju-si,411348,10922,2.66
3131210,31,Gyeonggi-do,31210,Icheon-si,205014,6558,3.2
3131220,31,Gyeonggi-do,31220,Anseong-si,181896,10889,5.99
3131230,31,Gyeonggi-do,31230,Gimpo-si,340310,18101,5.32
3131240,31,Gyeonggi-do,31240,Hwaseong-si,540862,36492,6.75
3131250,31,Gyeonggi-do,31250,Gwangju-si,298858,12597,4.22
3131260,31,Gyeonggi-do,31260,Yangju-si,202072,8521,4.22
3131270,31,Gyeonggi-do,31270,Pocheon-si,155798,13428,8.62
3131350,31,Gyeonggi-do,31350,Yeoncheon-gun,45363,935,2.06
3131370,31,Gyeonggi-do,31370,Gapyeong-gun,61213,1279,2.09
3131380,31,Gyeonggi-do,31380,Yangpyeong-gun,105379,1776,1.69
3131320A,31,Gyeonggi-do,31320A,Yeoju-si,110386,3307,3
3232010,32,Gangwon-do,32010,Chuncheon-si,275791,3562,1.29
3232020,32,Gangwon-do,32020,Wonju-si,327292,3286,1
3232030,32,Gangwon-do,32030,Gangneung-si,215807,1930,0.89
3232040,32,Gangwon-do,32040,donghae-si,94562,718,0.76
3232050,32,Gangwon-do,32050,Taebaek-si,48258,303,0.63
3232060,32,Gangwon-do,32060,Sokcho-si,82432,914,1.11
3232070,32,Gangwon-do,32070,Samcheok-si,72314,654,0.9
3232310,32,Gangwon-do,32310,Hongcheon-gun,70451,990,1.41
3232320,32,Gangwon-do,32320,Hoengseong-gun,45373,731,1.61
3232330,32,Gangwon-do,32330,Yeongwol-gun,40191,308,0.77
3232340,32,Gangwon-do,32340,Pyeongchang-gun,43660,481,1.1
3232350,32,Gangwon-do,32350,Jeongseon-gun,39425,350,0.89
3232360,32,Gangwon-do,32360,Cheolwon-gun,47590,674,1.42
3232370,32,Gangwon-do,32370,Hwacheon-gun,27143,239,0.88
3232380,32,Gangwon-do,32380,Yanggu-gun,23888,305,1.28
3232390,32,Gangwon-do,32390,Inje-gun,32475,400,1.23
3232400,32,Gangwon-do,32400,Goseong-gun,30269,526,1.74
3232410,32,Gangwon-do,32410,Yangyang-gun,27521,302,1.1
3333010,33,Chungcheongbuk-do,33010,Cheongju-si,831521,12561,1.51
3333020,33,Chungcheongbuk-do,33020,Chungju-si,208527,4189,2.01
3333030,33,Chungcheongbuk-do,33030,Jecheon-si,136805,1608,1.18
3333320,33,Chungcheongbuk-do,33320,Boeun-gun,34240,458,1.34
3333330,33,Chungcheongbuk-do,33330,Okcheon-gun,52469,845,1.61
3333340,33,Chungcheongbuk-do,33340,Yeongdong-gun,50803,620,1.22
3333350,33,Chungcheongbuk-do,33350,Jincheon-gun,65174,5198,7.98
3333360,33,Chungcheongbuk-do,33360,Goesan-gun,38351,770,2.01
3333370,33,Chungcheongbuk-do,33370,Eumseong-gun,95324,8908,9.34
3333380,33,Chungcheongbuk-do,33380,Danyang-gun,30948,250,0.81
3333390,33,Chungcheongbuk-do,33390,Jeungpyeong-gun,34771,685,1.97
3434010,34,Chungcheongnam-do,34010,Cheonan-si,598346,20848,3.48
3434020,34,Chungcheongnam-do,34020,Gongju-si,113621,1968,1.73
3434030,34,Chungcheongnam-do,34030,Boryeong-si,104321,2534,2.43
3434040,34,Chungcheongnam-do,34040,Asan-si,293954,16029,5.45
3434050,34,Chungcheongnam-do,34050,Seosan-si,167611,4152,2.48
3434060,34,Chungcheongnam-do,34060,Nonsan-si,124784,3569,2.86
3434090,34,Chungcheongnam-do,34090,Gyeryong-si,40552,213,0.53
3434310,34,Chungcheongnam-do,34310,Geumsan-gun,55166,1433,2.6
3434330,34,Chungcheongnam-do,34330,Buyeo-gun,71754,1148,1.6
3434340,34,Chungcheongnam-do,34340,Seocheon-gun,57713,1244,2.16
3434350,34,Chungcheongnam-do,34350,Cheongyang-gun,32248,553,1.71
3434360,34,Chungcheongnam-do,34360,Hongseong-gun,91866,1966,2.14
3434370,34,Chungcheongnam-do,34370,Yesan-gun,84919,1943,2.29
3434380,34,Chungcheongnam-do,34380,Taean-gun,62574,1248,1.99
3434390A,34,Chungcheongnam-do,34390A,Dangjin-si,162844,6059,3.72
3535010,35,Jeollabuk-do,35010,Jeonju-si,652877,6378,0.98
3535020,35,Jeollabuk-do,35020,gunsan-si,278098,5990,2.15
3535030,35,Jeollabuk-do,35030,Iksan-si,304117,4589,1.51
3535040,35,Jeollabuk-do,35040,Jeongeup-si,117183,2332,1.99
3535050,35,Jeollabuk-do,35050,Namwon-si,85643,956,1.12
