place_original,population,id,id2,place,
31 Gyeonggi-do,"12,479,061",31,31,Gyeonggi-do,
11 Seoul,"9,904,312",11,11,Seoul,
21 Busan,"3,448,737",21,21,Busan,
38 Gyeongsangnam-do,"3,334,524",38,38,Gyeongsangnam-do,
23 Incheon,"2,890,451",23,23,Incheon,
37 Gyeongsangbuk-do,"2,680,294",37,37,Gyeongsangbuk-do,
22 Daegu,"2,466,052",22,22,Daegu,
34 Chungcheongnam-do,"2,107,802",34,34,Chungcheongnam-do,
35 Jeollabuk-do,"1,834,114",35,35,Jeollabuk-do,
36 Jeollanam-do,"1,799,044",36,36,Jeollanam-do,
33 Chungcheongbuk-do,"1,589,347",33,33,Chungcheongbuk-do,
25 Daejeon,"1,538,394",25,25,Daejeon,
32 Gangwon-do,"1,518,040",32,32,Gangwon-do,
24 Gwangju,"1,502,881",24,24,Gwangju,
31010 Suwon-si,"1,194,313",31010,31010,Suwon-si,
26 Ulsan,"1,166,615",26,26,Ulsan,
38110 Changwon-si,"1,059,241",38110,38110,Changwon-si,
31100 Goyang-si,"990,073",31100,31100,Goyang-si,
31190 Yongin-si,"971,327",31190,31190,Yongin-si,
31020 Seongnam-si,"948,757",31020,31020,Seongnam-si,
31050 Bucheon-si,"843,794",31050,31050,Bucheon-si,
33040 Chungju-si,"833,276",33040,33040,Chungju-si,
31090 Ansan-si,"747,035",31090,31090,Ansan-si,
35010 Jeonju-si,"658,172",35010,35010,Jeonju-si,
11240 Songpa-gu,"634,941",11240,11240,Songpa-gu,
34010 Cheonan-si,"629,062",34010,34010,Cheonan-si,
31130 Namyangju-si,"629,061",31130,31130,Namyangju-si,
31240 Hwaseong-si,"608,725",31240,31240,Hwaseong-si,
22070 Dalseo-gu,"607,224",22070,22070,Dalseo-gu,
39 Jeju,"605,619",39,39,Jeju,
31040 Anyang-si,"585,177",31040,31040,Anyang-si,
11160 Gangseo-gu,"570,507",11160,11160,Gangseo-gu,
11110 Nowon-gu,"562,996",11110,11110,Nowon-gu,
23060 Bupyeong-gu,"548,461",23060,23060,Bupyeong-gu,
11230 Gangnam-gu,"541,688",11230,11230,Gangnam-gu,
38070 Gimhae-si,"534,124",38070,38070,Gimhae-si,
23050 Namdong-gu,"527,324",23050,23050,Namdong-gu,
11210 Gwanak-gu,"519,622",11210,11210,Gwanak-gu,
37010 Pohang-si,"511,804",37010,37010,Pohang-si,
23080 Seo-gu,"499,540",23080,23080,Seo-gu,
25030 Seo-gu,"491,507",25030,25030,Seo-gu,
11120 Eunpyeong-gu,"478,374",11120,11120,Eunpyeong-gu,
31023 Bundang-gu,"478,339",31023,31023,Bundang-gu,
11150 Yangcheon-gu,"465,512",11150,11150,Yangcheon-gu,
24040 Buk-gu,"459,715",24040,24040,Buk-gu,
31070 Pyeongtaek-si,"457,873",31070,31070,Pyeongtaek-si,
11080 Seongbuk-gu,"456,844",11080,11080,Seongbuk-gu,
39010 Jeju-si,"451,758",39010,39010,Jeju-si,
22050 Buk-gu,"450,579",22050,22050,Buk-gu,
11170 Guro-gu,"444,832",11170,11170,Guro-gu,
11250 Gangdong-gu,"444,385",11250,11250,Gangdong-gu,
31051 Wonmi-gu,"440,396",31051,31051,Wonmi-gu,
22060 Suseong-gu,"437,328",22060,22060,Suseong-gu,
31150 Siheung-si,"425,184",31150,31150,Siheung-si,
31101 Deogyang-gu,"425,100",31101,31101,Deogyang-gu,
31030 Uijeongbu-si,"421,579",31030,31030,Uijeongbu-si,
37050 Gumi-si,"421,075",37050,37050,Gumi-si,
11220 Seocho-gu,"420,804",11220,11220,Seocho-gu,
31200 Paju-si,"415,345",31200,31200,Paju-si,
24050 Gwangsan-gu,"411,722",24050,24050,Gwangsan-gu,
21090 Haeundae-gu,"409,037",21090,21090,Haeundae-gu,
11200 Dongjak-gu,"407,894",11200,11200,Dongjak-gu,
31192 Giheung-gu,"407,238",31192,31192,Giheung-gu,
11190 Yeongdeungpo-gu,"406,528",11190,11190,Yeongdeungpo-gu,
23030 Nam-gu,"405,746",23030,23030,Nam-gu,
11070 Jungnang-gu,"403,237",11070,11070,Jungnang-gu,
31091 Sangnok-gu,"383,508",31091,31091,Sangnok-gu,
11140 Mapo-gu,"381,330",11140,11140,Mapo-gu,
21050 Busanjin-gu,"376,321",21050,21050,Busanjin-gu,
11050 Gwangjin-gu,"368,199",11050,11050,Gwangjin-gu,
35011 Wansan-gu,"367,243",35011,35011,Wansan-gu,
11060 Dongdaemun-gu,"364,787",11060,11060,Dongdaemun-gu,
31092 Danwon-gu,"363,527",31092,31092,Danwon-gu,
31230 Gimpo-si,"352,683",31230,31230,Gimpo-si,
34012 Sebuk-gu,"351,281",34012,34012,Sebuk-gu,
25040 Yuseong-gu,"350,015",25040,25040,Yuseong-gu,
38030 Jinju-si,"349,788",38030,38030,Jinju-si,
31012 Gwonseon-gu,"349,339",31012,31012,Gwonseon-gu,
26020 Nam-gu,"341,363",26020,26020,Nam-gu,
11100 Dobong-gu,"340,095",11100,11100,Dobong-gu,
31042 Dongan-gu,"339,872",31042,31042,Dongan-gu,
22020 Dong-gu,"339,608",22020,22020,Dong-gu,
31060 Gwangmyeong-si,"338,509",31060,31060,Gwangmyeong-si,
31014 Yeongtong-gu,"336,460",31014,31014,Yeongtong-gu,
21100 Saha-gu,"334,762",21100,21100,Saha-gu,
31193 Suji-gu,"332,197",31193,31193,Suji-gu,
32020 Wonju-si,"330,854",32020,32020,Wonju-si,
23070 Gyeyang-gu,"327,311",23070,23070,Gyeyang-gu,
11090 Gangbuk-gu,"319,992",11090,11090,Gangbuk-gu,
34040 Asan-si,"319,929",34040,34040,Asan-si,
23040 Yeonsu-gu,"317,172",23040,23040,Yeonsu-gu,
31250 Gwangju-si,"310,278",31250,31250,Gwangju-si,
11130 Seodaemun-gu,"308,768",11130,11130,Seodaemun-gu,
24020 Seo-gu,"305,512",24020,24020,Seo-gu,
35030 Iksan-si,"301,723",35030,35030,Iksan-si,
31011 Jangan-gu,"299,611",31011,31011,Jangan-gu,
21080 Buk-gu,"299,182",21080,21080,Buk-gu,
