year,missile,nuclear,other,total
1958,,,1,1
1959,,,1,1
1960,,,1,1
1962,,,1,1
1963,,,1,1
1964,,,1,1
1965,,,1,1
1966,,,2,2
1967,,,18,18
1968,,,17,17
1969,,,7,7
1970,,,7,7
1971,,,4,4
1973,,,1,1
1974,,,5,5
1975,,,4,4
1976,,,2,2
1978,,,3,3
1979,,,1,1
1980,,,4,4
1981,,,1,1
1983,,,5,5
1984,2,,3,5
1985,1,,1,2
1986,,,2,2
1987,,,2,2
1990,2,,1,3
1991,2,,,2
1992,1,,1,2
1993,2,,1,3
1994,2,,1,3
1995,1,,3,4
1996,,,10,10
1997,1,,3,4
1998,1,,4,5
1999,,,3,3
2000,,,1,1
2001,,,5,5
2002,,,1,1
2003,3,,9,12
2004,,,1,1
2005,1,,,1
2006,2,1,,3
2007,3,,,3
2008,3,,,3
2009,7,1,2,10
2010,,1,8,9
2011,1,,,1
2012,3,,,3
2013,4,2,,6
2014,16,,5,21
2015,10,,2,12
2016,20,2,3,25
2017,17,1,2,20
