id,property,common_name,botanical_name,x,y
675,1,CANARY ISLAND PINE,PINUS CANARIENSIS,6325161.535,1919252.766
682,1,CANARY ISLAND PINE,PINUS CANARIENSIS,6324911.479,1919198.951
687,1,CHINESE PISTACHE,PISTACIA CHINENSIS,6325061.128,1919109.714
689,1,CHINESE PISTACHE,PISTACIA CHINENSIS,6325061.441,1919017.289
692,1,PURPLE-LEAF PLUM,PRUNUS CERASIFERA,6324935.452,1918967.207
693,1,PURPLE-LEAF PLUM,PRUNUS CERASIFERA,6324896.434,1918985.784
698,1,PURPLE-LEAF PLUM,PRUNUS CERASIFERA,6324976.779,1918931.195
700,1,CHINESE PISTACHE,PISTACIA CHINENSIS,6325060.655,1918887.684
703,1,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6325018.739,1918711.603
704,1,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6324930.068,1918718.764
708,1,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6324905.055,1918657.639
709,1,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6324937.017,1918678.64
712,1,CHINESE PISTACHE,PISTACIA CHINENSIS,6325055.884,1918638.372
713,1,CHINESE PISTACHE,PISTACIA CHINENSIS,6325059.13,1918592.496
717,1,HOLLY OAK,QUERCUS ILEX,6325016.612,1918449.344
718,1,D.D. Blanchard,Magnolia Grandiflora,6324916.307,1918461.576
615,1,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6325061.504,1919572.978
648,1,CANARY ISLAND PINE,PINUS CANARIENSIS,6325053.965,1919502.098
657,1,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6325495.118,1919496.206
723,1,RUSSETT MAGNOLIA,MAGNOLIA GRANDIFLORA RUSSETT,6324812.896,1918322.691
740,1,HOLLY OAK,QUERCUS ILEX,6324853.875,1918026.248
744,1,SAMUEL SOMMER MAGNOL,MAGNOLIA GRANDIFLORA SAMUEL SOMMER,6324857.046,1918282.069
754,1,CHINESE PISTACHE,PISTACIA CHINENSIS,6325059.114,1918187.026
758,1,CHINESE PISTACHE,PISTACIA CHINENSIS,6325061.457,1917953.003
761,1,CHINESE PISTACHE,PISTACIA CHINENSIS,6325087.265,1917787.929
765,1,CHINESE PISTACHE,PISTACIA CHINENSIS,6325114.307,1918021.378
766,1,CHINESE PISTACHE,PISTACIA CHINENSIS,6325100.092,1918150.913
782,1,CHANTICLEER PEAR,PYRUS CALLERYANA CHANTICLEER,6325146.218,1919207.021
790,1,CARROTWOOD,CUPANIOPSIS ANACARDIOIDES,6325316.049,1918757.643
798,1,SAUCER MAGNOLIA,MAGNOLIA SOULANGIANA,6325318.643,1918342.129
802,1,CHANTICLEER PEAR,PYRUS CALLERYANA CHANTICLEER,6325316.321,1918017.19
806,1,CARROTWOOD,CUPANIOPSIS ANACARDIOIDES,6325323.773,1917707.809
822,1,WESTERN HACKBERRY,CELTIS RETICULATA,6325950.761,1917927.002
827,1,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6325602.619,1917939.715
32,1,CHINESE PISTACHE,PISTACIA CHINENSIS,6325368.75,1919844.065
42,1,CHINESE FLAME TREE,KOELREUTERIA BIPINNATA PINK,6325459.676,1920406.41
208,2,MICHELIA,MICHELIA DOLTSOPA WHITE,6326325.928,1920582.226
210,2,MICHELIA,MICHELIA DOLTSOPA WHITE,6326327.423,1920492.354
211,1,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6326264.71,1920720.38
215,1,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6326114.828,1920719.781
216,1,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6326077.046,1920723.679
531,1,CAROB,CERATONIA SILIQUA,6325616.199,1921989.59
541,1,CHANTICLEER PEAR,PYRUS CALLERYANA CHANTICLEER,6325303.785,1921887.233
542,1,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6325301.075,1921951.595
545,1,CHINESE ELM,ULMUS PARVIFOLIA,6325303.769,1922097.536
554,1,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6325169.86,1921844.723
578,2,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6326298.867,1919742.121
581,1,EVERGREEN PEAR,PYRUS KAWAKAMII,6326256.496,1919577.131
587,1,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6325941.512,1919563.709
602,1,RUSSETT MAGNOLIA,MAGNOLIA GRANDIFLORA RUSSETT,6325318.852,1919603.885
610,1,PARADISE PEAR,PYRUS BETULIFOLIA PARADISE,6325265.218,1919598.255
221,1,HYBRID CRAPE MYRTLE,LAGERSTROEMIA INDICA MUSKOGEE,6325760.308,1920723.051
224,1,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6325491.364,1920724.709
234,1,CHANTICLEER PEAR,PYRUS CALLERYANA CHANTICLEER,6325300.098,1920852.522
248,1,PURPLE-LEAF PLUM,PRUNUS CERASIFERA,6325607.246,1920918.459
251,1,MEXICAN FAN PALM,WASHINGTONIA ROBUSTA,6325656.275,1920731.35
271,1,MEXICAN FAN PALM,WASHINGTONIA ROBUSTA,6325967.849,1920983.89
275,1,SWEETGUM,LIQUIDAMBAR STYRACIFLUA,6325965.909,1920939.842
276,1,SWEETGUM,LIQUIDAMBAR STYRACIFLUA,6325967.865,1920938.339
280,1,SWAMP GUM,EUCALYPTUS RUDIS,6325974.739,1920844.288
285,1,SWEETSHADE,HYMENOSPORUM FLAVUM,6326013.061,1920827.766
296,1,SIBERIAN ELM,ULMUS PUMILA,6326301.893,1921043.818
297,2,BLACK WALNUT,JUGLANS NIGRA,6326325.711,1920973.423
311,1,CAROB,CERATONIA SILIQUA,6326024.489,1921150.874
329,1,KING PALM,ARCHONTOPHOENIX CUNNINGHAM,6325879.267,1921091.466
330,1,KING PALM,ARCHONTOPHOENIX CUNNINGHAM,6325855.314,1921094.498
331,1,KING PALM,ARCHONTOPHOENIX CUNNINGHAM,6325830.439,1921093.223
354,1,CHINABERRY,MELIA AZEDARACH,6325408.192,1921095.417
378,1,HOLLYWOOD JUNIPER,JUNIPERUS CHINENSIS TORULOSA,6325075.483,1921096.946
390,1,ITALIAN CYPRESS,CUPRESSUS SEMPERVIRENS,6325418.912,1921415.636
409,2,MEXICAN FAN PALM,WASHINGTONIA ROBUSTA,6326327.722,1921332.173
417,1,SWEETGUM,LIQUIDAMBAR STYRACIFLUA,6326181.351,1921463.994
469,1,QUEEN PALM,ARECASTRUM ROMANZOFFIANUM,6325249.869,1921675.001
476,1,SOUTHERN MAGNOLIA,MAGNOLIA GRANDIFLORA,6325214.096,1921463.932
477,1,SOUTHERN MAGNOLIA,MAGNOLIA GRANDIFLORA,6325163.747,1921463.572
1469,1,CHINESE TALLOW TREE,SAPIUM SEBIFERUM,6323803.265,1918946.314
1470,1,CHANTICLEER PEAR,PYRUS CALLERYANA CHANTICLEER,6323854.639,1918883.404
1480,1,HYBRID CRAPE MYRTLE,LAGERSTROEMIA INDICA ZUNI,6323847.192,1918353.812
43,1,CHINESE FLAME TREE,KOELREUTERIA BIPINNATA PINK,6325488.747,1920408.272
46,1,AUSTRALIAN WILLOW,GEIJERA PARVIFLORA,6325545.916,1920234.611
48,1,AUSTRALIAN WILLOW,GEIJERA PARVIFLORA,6325543.251,1920059.097
60,1,CHINESE FLAME TREE,KOELREUTERIA BIPINNATA PINK,6325634.577,1920412.642
63,1,CHINESE FLAME TREE,KOELREUTERIA BIPINNATA PINK,6325756.174,1920411.389
67,1,CHINESE PISTACHE,PISTACIA CHINENSIS,6325799.14,1920144.505
77,1,CHINESE PISTACHE,PISTACIA CHINENSIS,6325840.095,1919871.756
80,1,CHINESE PISTACHE,PISTACIA CHINENSIS,6325841.48,1920029.087
81,1,CHINESE PISTACHE,PISTACIA CHINENSIS,6325840.074,1920069.709
90,1,CHINESE FLAME TREE,KOELREUTERIA BIPINNATA PINK,6325937.802,1920412.457
108,1,CHINESE FLAME TREE,KOELREUTERIA BIPINNATA PINK,6326182.926,1920403.802
112,2,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6326324.661,1920272.551
115,2,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6326324.034,1920096.349
119,1,CHINESE PISTACHE,PISTACIA CHINENSIS,6326268.494,1919824.86
136,1,CHINESE FLAME TREE,KOELREUTERIA BIPINNATA PINK,6325763.6,1920448.814
140,1,CHINESE FLAME TREE,KOELREUTERIA BIPINNATA PINK,6325483.92,1920450.226
147,1,CHANTICLEER PEAR,PYRUS CALLERYANA CHANTICLEER,6325273.683,1920145.773
157,1,CHINESE PISTACHE,PISTACIA CHINENSIS,6325545.542,1919791.128
158,1,CHINESE PISTACHE,PISTACIA CHINENSIS,6325618.398,1919788.098
165,1,CHINESE PISTACHE,PISTACIA CHINENSIS,6326071.981,1919784.365
166,1,CHINESE PISTACHE,PISTACIA CHINENSIS,6326158.548,1919784.408
173,1,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6325059.418,1920474.473
178,1,CHANTICLEER PEAR,PYRUS CALLERYANA CHANTICLEER,6325255.184,1920503.557
190,1,CHANTICLEER PEAR,PYRUS CALLERYANA CHANTICLEER,6325292.71,1920631.286
191,1,HYBRID CRAPE MYRTLE,LAGERSTROEMIA INDICA MUSKOGEE,6325340.992,1920682.202
192,1,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6325425.453,1920681.8
197,1,HYBRID CRAPE MYRTLE,LAGERSTROEMIA INDICA MUSKOGEE,6325606.689,1920680.483
200,1,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6325858.342,1920679.95
203,1,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6326048.252,1920677.476
204,1,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6326115.28,1920678.741
205,1,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6326210.621,1920675.521
207,2,MICHELIA,MICHELIA DOLTSOPA WHITE,6326326.089,1920631.518
1650,1,CHINESE ELM,ULMUS PARVIFOLIA,6323227.583,1920100.704
1654,1,SOUTHERN MAGNOLIA,MAGNOLIA GRANDIFLORA,6323232.857,1920251.034
1660,1,SOUTHERN MAGNOLIA,MAGNOLIA GRANDIFLORA,6323237.068,1920535.602
1675,1,NEW ZEALAND CHRISTMA,METROSIDEROS EXCELSUS,6323497.17,1920219.141
1676,1,NEW ZEALAND CHRISTMA,METROSIDEROS EXCELSUS,6323500.019,1920137.449
1680,1,SWEETGUM,LIQUIDAMBAR STYRACIFLUA,6323496.824,1919964.085
1685,1,ITALIAN CYPRESS,CUPRESSUS SEMPERVIRENS,6323525.001,1919848.081
1686,1,OKLAHOMA REDBUD,CERCIS CANADENSIS SPP. TEXENSIS 'OKLAH',6323558.974,1919883.218
1689,1,NEW ZEALAND CHRISTMA,METROSIDEROS EXCELSUS,6323538.58,1920063.043
1693,1,OKLAHOMA REDBUD,CERCIS CANADENSIS SPP. TEXENSIS 'OKLAH',6323538.932,1920355.585
1706,1,SOUTHERN MAGNOLIA,MAGNOLIA GRANDIFLORA,6323525.421,1920756.69
1710,1,SOUTHERN MAGNOLIA,MAGNOLIA GRANDIFLORA,6323370.165,1920766.47
1761,1,EDIBLE APPLE,MALUS SYVESTRIS,6322337.766,1919938.726
1818,1,QUEEN PALM,ARECASTRUM ROMANZOFFIANUM,6322238.845,1920299.692
1844,3,QUEEN PALM,ARECASTRUM ROMANZOFFIANUM,6321589.617,1920469.469
1848,3,QUEEN PALM,ARECASTRUM ROMANZOFFIANUM,6321636.358,1920445.386
1851,3,KAFFIRBOOM CORAL TRE,ERYTHRINA CAFFRA,6321731.188,1920390.987
1867,3,WHITE BIRCH,BETULA PENDULA,6322244.102,1919778.968
1874,3,FREMONT COTTONWOOD,POPULUS FREMONTII,6322283.593,1919663.182
1879,3,WHITE ALDER,ALNUS RHOMBIFOLIA,6322287.581,1919854.254
2066,1,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6321686.01,1919597.128
2088,1,CHINESE ELM,ULMUS PARVIFOLIA,6320410.282,1920544.629
896,1,NEW ZEALAND CHRISTMA,METROSIDEROS EXCELSUS,6325022.893,1917727.856
913,1,JUNIPER SPECIES,JUNIPERUS SPP.,6326034.259,1917456.169
920,1,FIREWHEEL TREE,STENOCARPUS SINUATUS,6326073.912,1917527.752
921,1,JACARANDA,JACARANDA MIMOSIFOLIA,6326052.234,1917541.119
924,1,NEW ZEALAND CHRISTMA,METROSIDEROS EXCELSUS,6325841.629,1917619.418
925,1,CARROTWOOD,CUPANIOPSIS ANACARDIOIDES,6325793.809,1917621.812
930,1,OTHER,OTHER,6325529.643,1917611.094
934,1,HOLLY OAK,QUERCUS ILEX,6325263.563,1917646.127
941,1,GOLDENRAIN TREE,KOELREUTERIA PANICULATA,6324780.134,1917674.656
954,1,QUEENSLAND PITTOSPOR,PITTOSPORUM RHOMBIFOLIUM,6324518.269,1917154.551
957,1,CHINESE FLAME TREE,KOELREUTERIA BIPINNATA PINK,6324508.349,1916996.391
958,1,CHINESE FLAME TREE,KOELREUTERIA BIPINNATA PINK,6324501.578,1916881.027
979,1,JACARANDA,JACARANDA MIMOSIFOLIA,6324755.698,1916101.521
987,1,JACARANDA,JACARANDA MIMOSIFOLIA,6325288.568,1916100.21
992,1,JACARANDA,JACARANDA MIMOSIFOLIA,6325520.813,1916145.503
995,1,JACARANDA,JACARANDA MIMOSIFOLIA,6325319.113,1916141.553
996,1,JACARANDA,JACARANDA MIMOSIFOLIA,6325261.728,1916145.818
997,1,JACARANDA,JACARANDA MIMOSIFOLIA,6325236.167,1916142.648
999,1,CHINESE FLAME TREE,KOELREUTERIA BIPINNATA PINK,6325124.781,1916153.084
1000,1,JACARANDA,JACARANDA MIMOSIFOLIA,6325079.445,1916154.655
1005,1,JACARANDA,JACARANDA MIMOSIFOLIA,6324766.269,1916158.256
1012,1,SOUTHERN MAGNOLIA,MAGNOLIA GRANDIFLORA,6324596.744,1916422.991
1029,1,JACARANDA,JACARANDA MIMOSIFOLIA,6325626.605,1916449.978
1034,1,SOUTHERN MAGNOLIA,MAGNOLIA GRANDIFLORA,6325342.162,1916454.156
1042,1,SOUTHERN MAGNOLIA,MAGNOLIA GRANDIFLORA,6324900.318,1916463.008
1045,1,SOUTHERN MAGNOLIA,MAGNOLIA GRANDIFLORA,6324663.005,1916457.57
1889,3,SWEETGUM,LIQUIDAMBAR STYRACIFLUA,6321887.785,1920327.737
1906,1,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6321867.995,1920700.919
1907,1,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6321894.771,1920706.912
1918,1,JAPANESE BLACK PINE,PINUS THUNBERGIANA,6322013.761,1920474.471
1922,1,HOLLYWOOD JUNIPER,JUNIPERUS CHINENSIS TORULOSA,6321971.357,1920411.048
1952,1,BAILEY ACACIA,ACACIA BAILEYANA,6322605.006,1920738.25
1954,1,BOTTLEBRUSH,CALLISTEMON CITRINUS,6322535.847,1920740.395
1961,1,WHITE BIRCH,BETULA PENDULA,6322200.617,1920745.054
1966,1,QUEEN PALM,ARECASTRUM ROMANZOFFIANUM,6322107.149,1920839.017
1974,1,BOX ELDER,ACER NEGUNDO,6321804.96,1920745.906
1995,1,MEXICAN FAN PALM,WASHINGTONIA ROBUSTA,6321264.3,1920470.102
2005,1,EUGENIA,SYZYGIUM PANICULATUM,6321492.815,1920709.707
2008,1,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6323132.374,1919588.767
2009,1,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6323093.842,1919589.922
2024,1,CRAPE MYRTLE,LAGERSTROEMIA INDICA,6322474.956,1919593.564
1571,1,SOUTHERN MAGNOLIA,MAGNOLIA GRANDIFLORA,6324341.545,1918942.779
1572,1,SOUTHERN MAGNOLIA,MAGNOLIA GRANDIFLORA,6324385.073,1918940.537
1580,1,SWEETGUM,LIQUIDAMBAR STYRACIFLUA,6323897.486,1918989.131
1589,1,CHINESE TALLOW TREE,SAPIUM SEBIFERUM,6323525.413,1919151.467
1592,1,CHINESE TALLOW TREE,SAPIUM SEBIFERUM,6323527.248,1919275.439
1596,1,CHINESE TALLOW TREE,SAPIUM SEBIFERUM,6323432.95,1919387.278
1597,1,CHINESE TALLOW TREE,SAPIUM SEBIFERUM,6323355.411,1919381.855
1607,1,CHINESE TALLOW TREE,SAPIUM SEBIFERUM,6323277.414,1919343.127
1611,1,CHINESE TALLOW TREE,SAPIUM SEBIFERUM,6323472.844,1919304.117
1613,1,CHINESE TALLOW TREE,SAPIUM SEBIFERUM,6323482.164,1919199.105
1616,1,CHINESE TALLOW TREE,SAPIUM SEBIFERUM,6323475.243,1919015.248
1618,1,SAMUEL SOMMER MAGNOL,MAGNOLIA GRANDIFLORA SAMUEL SOMMER,6323560.803,1918933.806
1623,1,SOUTHERN MAGNOLIA,MAGNOLIA GRANDIFLORA,6323182.671,1920066.425
1627,1,SOUTHERN MAGNOLIA,MAGNOLIA GRANDIFLORA,6323191.164,1919920.688
1630,1,SOUTHERN MAGNOLIA,MAGNOLIA GRANDIFLORA,6323189.568,1919725.145
1646,1,SOUTHERN MAGNOLIA,MAGNOLIA GRANDIFLORA,6323220.717,1919871.426
3837,1,SWEETGUM,LIQUIDAMBAR STYRACIFLUA,6322391.391,1912771.909
3839,1,SWEETGUM,LIQUIDAMBAR STYRACIFLUA,6322358.148,1912823.083
3843,1,SWEETGUM,LIQUIDAMBAR STYRACIFLUA,6322243.106,1912970.693
3848,1,FERN PINE,PODOCARPUS GRACILIOR,6322727.561,1913124.151
3849,1,FERN PINE,PODOCARPUS GRACILIOR,6322726.798,1913094.047
3853,1,FERN PINE,PODOCARPUS GRACILIOR,6322799.498,1912965.525
3884,1,SPOTTED GUM,EUCALYPTUS MACULATA,6322650.942,1913249.96
3885,1,SPOTTED GUM,EUCALYPTUS MACULATA,6322818.89,1913249.966
3886,1,SWAMP GUM,EUCALYPTUS RUDIS,6322846.939,1913254.424
3889,1,SPOTTED GUM,EUCALYPTUS MACULATA,6322938.171,1913255.213
3893,1,SWEETGUM,LIQUIDAMBAR STYRACIFLUA,6323112.402,1913258.013
3906,1,CHINESE FLAME TREE,KOELREUTERIA BIPINNATA PINK,6321383.296,1912760.978
3910,1,CHINESE FLAME TREE,KOELREUTERIA BIPINNATA PINK,6321245.801,1912563.575
3919,1,CAJEPUT TREE,MELALEUCA QUINQUENERVIA,6323352.298,1911680.202
3922,1,SILVER DOLLAR GUM,EUCALYPTUS POLYANTHEMOS,6323128.422,1911683.755
3926,1,SPOTTED GUM,EUCALYPTUS MACULATA,6322939.428,1911683.884
3927,1,SPOTTED GUM,EUCALYPTUS MACULATA,6322895.789,1911698.935
3943,1,WHITE BIRCH,BETULA PENDULA,6322157.8,1912263.934
3944,1,WHITE BIRCH,BETULA PENDULA,6322128.256,1912300.704
3960,1,MAINDENHAIR TREE,GINKGO BILOBA,6321753.371,1912751.894
3963,1,MAINDENHAIR TREE,GINKGO BILOBA,6321844.66,1912642.789
3967,1,MAINDENHAIR TREE,GINKGO BILOBA,6322041.168,1912352.636
2916,1,MARINA ARBUTUS,ARBUTUS 'MARINA',6321798.801,1923388.546
2934,1,BRISBANE BOX,TRISTANIA CONFERTA,6321772.106,1923717.348
2945,1,BRISBANE BOX,TRISTANIA CONFERTA,6321769.904,1923199.225
2954,1,BRISBANE BOX,TRISTANIA CONFERTA,6321765.225,1922802.229
2956,1,.ROYAL PAULOWNIA,PAULOWINA TOMENTOSA,6321767.971,1922725.085
2959,1,.ROYAL PAULOWNIA,PAULOWINA TOMENTOSA,6321721.664,1922669.556
2963,1,CHITALPA,CHILOPSIS LINEARIS CATALPA,6321542.927,1922713.503
2964,1,CHITALPA,CHILOPSIS LINEARIS CATALPA,6321542.611,1922755.889
2983,1,CHINESE ELM,ULMUS PARVIFOLIA,6321553.855,1923645.637
1054,1,SILVER DOLLAR GUM,EUCALYPTUS POLYANTHEMOS,6324778.295,1916728.854
1061,1,SILVER DOLLAR GUM,EUCALYPTUS POLYANTHEMOS,6325179.614,1916724.053
