"ID","Classfication","Period","variable","value"
"1","Whole",2001,"Grocery",44.8
"2","Whole",2002,"Grocery",45.9
"3","Whole",2003,"Grocery",41.2
"4","Whole",2004,"Grocery",51.9
"5","Whole",2005,"Grocery",51.6
"6","Whole",2006,"Grocery",36.6
"7","Whole",2007,"Grocery",38.1
"8","Whole",2008,"Grocery",38.1
"9","Whole",2009,"Grocery",37.5
"10","Whole",2010,"Grocery",36.9
"11","Whole",2011,"Grocery",38.3
"12","Whole",2012,"Grocery",36.2
"13","Whole",2013,"Grocery",34.6
"14","Whole",2014,"Grocery",37.4
"15","Whole",2015,"Grocery",38
"16","Whole",2016,"Grocery",41.6
"17","Japan",2001,"Grocery",54.1
"18","Japan",2002,"Grocery",55
"19","Japan",2003,"Grocery",53.3
"20","Japan",2004,"Grocery",62.2
"21","Japan",2005,"Grocery",67.1
"22","Japan",2006,"Grocery",63.2
"23","Japan",2007,"Grocery",66.4
"24","Japan",2008,"Grocery",66.2
"25","Japan",2009,"Grocery",62.2
"26","Japan",2010,"Grocery",65.5
"27","Japan",2011,"Grocery",58.3
"28","Japan",2012,"Grocery",54.2
"29","Japan",2013,"Grocery",50.4
"30","Japan",2014,"Grocery",66.5
"31","Japan",2015,"Grocery",67.3
"32","Japan",2016,"Grocery",63.3
"33","China",2001,"Grocery",41.2
"34","China",2002,"Grocery",44
"35","China",2003,"Grocery",41.6
"36","China",2004,"Grocery",52.9
"37","China",2005,"Grocery",45.7
"38","China",2006,"Grocery",20.1
"39","China",2007,"Grocery",24.4
"40","China",2008,"Grocery",27.6
"41","China",2009,"Grocery",18.8
"42","China",2010,"Grocery",19.4
"43","China",2011,"Grocery",32.4
"44","China",2012,"Grocery",29.8
"45","China",2013,"Grocery",32.7
"46","China",2014,"Grocery",34.3
"47","China",2015,"Grocery",35.1
"48","China",2016,"Grocery",42.5
"49","Hongkong",2001,"Grocery",57.6
"50","Hongkong",2002,"Grocery",60.4
"51","Hongkong",2003,"Grocery",67
"52","Hongkong",2004,"Grocery",66.7
"53","Hongkong",2005,"Grocery",63
"54","Hongkong",2006,"Grocery",10
"55","Hongkong",2007,"Grocery",22.7
"56","Hongkong",2008,"Grocery",16.6
"57","Hongkong",2009,"Grocery",20.3
"58","Hongkong",2010,"Grocery",19.7
"59","Hongkong",2011,"Grocery",33.3
"60","Hongkong",2012,"Grocery",28.1
"61","Hongkong",2013,"Grocery",35.3
"62","Hongkong",2014,"Grocery",35
"63","Hongkong",2015,"Grocery",40.1
"64","Hongkong",2016,"Grocery",45.1
"65","Singapore",2001,"Grocery",30.5
"66","Singapore",2002,"Grocery",40.1
"67","Singapore",2003,"Grocery",30.5
"68","Singapore",2004,"Grocery",48.3
"69","Singapore",2005,"Grocery",47
"70","Singapore",2006,"Grocery",32.8
"71","Singapore",2007,"Grocery",33.6
"72","Singapore",2008,"Grocery",33.7
"73","Singapore",2009,"Grocery",25.1
"74","Singapore",2010,"Grocery",25.8
"75","Singapore",2011,"Grocery",20.2
"76","Singapore",2012,"Grocery",21.1
"77","Singapore",2013,"Grocery",24.3
"78","Singapore",2014,"Grocery",25.2
"79","Singapore",2015,"Grocery",29.2
"80","Singapore",2016,"Grocery",32
"81","Taiwan",2001,"Grocery",46.1
"82","Taiwan",2002,"Grocery",53.9
"83","Taiwan",2003,"Grocery",46.9
"84","Taiwan",2004,"Grocery",58
"85","Taiwan",2005,"Grocery",63.5
"86","Taiwan",2006,"Grocery",7.4
"87","Taiwan",2007,"Grocery",11.7
"88","Taiwan",2008,"Grocery",12.5
"89","Taiwan",2009,"Grocery",9.3
"90","Taiwan",2010,"Grocery",14.3
"91","Taiwan",2011,"Grocery",40.7
"92","Taiwan",2012,"Grocery",36.5
"93","Taiwan",2013,"Grocery",41.3
"94","Taiwan",2014,"Grocery",44.8
"95","Taiwan",2015,"Grocery",52.1
"96","Taiwan",2016,"Grocery",51.6
"97","Thailand",2001,"Grocery",15
