"ID","Classfication","Period","variable","value"
"98","Thailand",2002,"Grocery",17.8
"99","Thailand",2003,"Grocery",19.3
"100","Thailand",2004,"Grocery",40.4
"101","Thailand",2005,"Grocery",39.9
"102","Thailand",2006,"Grocery",27.7
"103","Thailand",2007,"Grocery",32.9
"104","Thailand",2008,"Grocery",31.3
"105","Thailand",2009,"Grocery",40.4
"106","Thailand",2010,"Grocery",18.6
"107","Thailand",2011,"Grocery",13.8
"108","Thailand",2012,"Grocery",18
"109","Thailand",2013,"Grocery",22.6
"110","Thailand",2014,"Grocery",26
"111","Thailand",2015,"Grocery",27.5
"112","Thailand",2016,"Grocery",23.3
"113","Malaysia",2001,"Grocery",NA
"114","Malaysia",2002,"Grocery",NA
"115","Malaysia",2003,"Grocery",NA
"116","Malaysia",2004,"Grocery",NA
"117","Malaysia",2005,"Grocery",46.6
"118","Malaysia",2006,"Grocery",19.2
"119","Malaysia",2007,"Grocery",23.5
"120","Malaysia",2008,"Grocery",20.7
"121","Malaysia",2009,"Grocery",22.3
"122","Malaysia",2010,"Grocery",18
"123","Malaysia",2011,"Grocery",13.3
"124","Malaysia",2012,"Grocery",14.1
"125","Malaysia",2013,"Grocery",20.1
"126","Malaysia",2014,"Grocery",24.9
"127","Malaysia",2015,"Grocery",22.5
"128","Malaysia",2016,"Grocery",21.5
"129","Australia",2001,"Grocery",26
"130","Australia",2002,"Grocery",24
"131","Australia",2003,"Grocery",17
"132","Australia",2004,"Grocery",34.5
"133","Australia",2005,"Grocery",29.9
"134","Australia",2006,"Grocery",19.3
"135","Australia",2007,"Grocery",19.1
"136","Australia",2008,"Grocery",20.8
"137","Australia",2009,"Grocery",28
"138","Australia",2010,"Grocery",27.8
"139","Australia",2011,"Grocery",22.1
"140","Australia",2012,"Grocery",36.1
"141","Australia",2013,"Grocery",22.7
"142","Australia",2014,"Grocery",22.2
"143","Australia",2015,"Grocery",21.7
"144","Australia",2016,"Grocery",23.3
"145","U.S.A.",2001,"Grocery",21.8
"146","U.S.A.",2002,"Grocery",21.8
"147","U.S.A.",2003,"Grocery",21.6
"148","U.S.A.",2004,"Grocery",36.1
"149","U.S.A.",2005,"Grocery",30.4
"150","U.S.A.",2006,"Grocery",23.3
"151","U.S.A.",2007,"Grocery",24.9
"152","U.S.A.",2008,"Grocery",25
"153","U.S.A.",2009,"Grocery",26.6
"154","U.S.A.",2010,"Grocery",21.7
"155","U.S.A.",2011,"Grocery",18.9
"156","U.S.A.",2012,"Grocery",17.6
"157","U.S.A.",2013,"Grocery",21.8
"158","U.S.A.",2014,"Grocery",24.4
"159","U.S.A.",2015,"Grocery",25.3
"160","U.S.A.",2016,"Grocery",24.6
"161","Canada",2001,"Grocery",19.8
"162","Canada",2002,"Grocery",28.6
"163","Canada",2003,"Grocery",26.2
"164","Canada",2004,"Grocery",33.9
"165","Canada",2005,"Grocery",29.9
"166","Canada",2006,"Grocery",18.5
"167","Canada",2007,"Grocery",17.6
"168","Canada",2008,"Grocery",18.3
"169","Canada",2009,"Grocery",20.5
"170","Canada",2010,"Grocery",25.5
"171","Canada",2011,"Grocery",22.7
"172","Canada",2012,"Grocery",21.5
"173","Canada",2013,"Grocery",20.4
"174","Canada",2014,"Grocery",22.9
"175","Canada",2015,"Grocery",25.2
"176","Canada",2016,"Grocery",25.4
"177","U.K.",2001,"Grocery",17.9
"178","U.K.",2002,"Grocery",27.1
"179","U.K.",2003,"Grocery",21.2
"180","U.K.",2004,"Grocery",29.8
"181","U.K.",2005,"Grocery",25.9
"182","U.K.",2006,"Grocery",23.6
"183","U.K.",2007,"Grocery",20.8
"184","U.K.",2008,"Grocery",21.3
"185","U.K.",2009,"Grocery",31.4
"186","U.K.",2010,"Grocery",20.2
"187","U.K.",2011,"Grocery",27
"188","U.K.",2012,"Grocery",27.9
"189","U.K.",2013,"Grocery",20.1
"190","U.K.",2014,"Grocery",19.5
"191","U.K.",2015,"Grocery",27.2
"192","U.K.",2016,"Grocery",26.9
"193","Germany",2001,"Grocery",24.4
"194","Germany",2002,"Grocery",25.1
"195","Germany",2003,"Grocery",19.3
"196","Germany",2004,"Grocery",20.2
"197","Germany",2005,"Grocery",22.3
"198","Germany",2006,"Grocery",19.7
"199","Germany",2007,"Grocery",21
"200","Germany",2008,"Grocery",16.8
"201","Germany",2009,"Grocery",23.7
"202","Germany",2010,"Grocery",24.6
"203","Germany",2011,"Grocery",23.2
"204","Germany",2012,"Grocery",19.2
"205","Germany",2013,"Grocery",16.1
"206","Germany",2014,"Grocery",16.9
"207","Germany",2015,"Grocery",17.7
"208","Germany",2016,"Grocery",23.4
"209","France",2001,"Grocery",9.4
"210","France",2002,"Grocery",21.1
"211","France",2003,"Grocery",9.9
"212","France",2004,"Grocery",18.3
"213","France",2005,"Grocery",18.1
"214","France",2006,"Grocery",17.8
"215","France",2007,"Grocery",14.8
"216","France",2008,"Grocery",20
"217","France",2009,"Grocery",20.1
"218","France",2010,"Grocery",21.4
"219","France",2011,"Grocery",15.2
"220","France",2012,"Grocery",13.5
"221","France",2013,"Grocery",16.4
"222","France",2014,"Grocery",16.7
"223","France",2015,"Grocery",18.4
"224","France",2016,"Grocery",16.8
"225","Russianfed.",2001,"Grocery",36.1
"226","Russianfed.",2002,"Grocery",41.5
"227","Russianfed.",2003,"Grocery",37.7
"228","Russianfed.",2004,"Grocery",39.2
"229","Russianfed.",2005,"Grocery",27.7
"230","Russianfed.",2006,"Grocery",15.8
"231","Russianfed.",2007,"Grocery",13.3
"232","Russianfed.",2008,"Grocery",14.3
"233","Russianfed.",2009,"Grocery",12.5
"234","Russianfed.",2010,"Grocery",19.9
"235","Russianfed.",2011,"Grocery",14
"236","Russianfed.",2012,"Grocery",16.6
"237","Russianfed.",2013,"Grocery",19.3
"238","Russianfed.",2014,"Grocery",21.1
"239","Russianfed.",2015,"Grocery",22.7
"240","Russianfed.",2016,"Grocery",27.7
"241","Middleeast",2001,"Grocery",NA
"242","Middleeast",2002,"Grocery",NA
"243","Middleeast",2003,"Grocery",NA
"244","Middleeast",2004,"Grocery",NA
"245","Middleeast",2005,"Grocery",29.8
"246","Middleeast",2006,"Grocery",18.2
"247","Middleeast",2007,"Grocery",20.2
"248","Middleeast",2008,"Grocery",22.7
"249","Middleeast",2009,"Grocery",23.4
"250","Middleeast",2010,"Grocery",18.2
"251","Middleeast",2011,"Grocery",NA
"252","Middleeast",2012,"Grocery",17.4
"253","Middleeast",2013,"Grocery",24.3
"254","Middleeast",2014,"Grocery",13.1
"255","Middleeast",2015,"Grocery",18.7
"256","Middleeast",2016,"Grocery",21.9
"257","India",2001,"Grocery",NA
"258","India",2002,"Grocery",NA
"259","India",2003,"Grocery",NA
"260","India",2004,"Grocery",NA
"261","India",2005,"Grocery",NA
"262","India",2006,"Grocery",NA
"263","India",2007,"Grocery",NA
"264","India",2008,"Grocery",13.9
"265","India",2009,"Grocery",15.3
"266","India",2010,"Grocery",18
"267","India",2011,"Grocery",15.6
"268","India",2012,"Grocery",13.8
"269","India",2013,"Grocery",18.3
"270","India",2014,"Grocery",15.5
"271","India",2015,"Grocery",18
"272","India",2016,"Grocery",17.4
"273","Others",2001,"Grocery",13.7
"274","Others",2002,"Grocery",23.7
"275","Others",2003,"Grocery",25.7
"276","Others",2004,"Grocery",31.4
"277","Others",2005,"Grocery",23.5
"278","Others",2006,"Grocery",18.2
"279","Others",2007,"Grocery",20.5
"280","Others",2008,"Grocery",18.7
"281","Others",2009,"Grocery",20.2
"282","Others",2010,"Grocery",22.9
"283","Others",2011,"Grocery",17.9
"284","Others",2012,"Grocery",16.7
"285","Others",2013,"Grocery",21.1
"286","Others",2014,"Grocery",20.9
"287","Others",2015,"Grocery",24.4
"288","Others",2016,"Grocery",26.5
"289","Whole",2001,"Clothing",40.5
"290","Whole",2002,"Clothing",42.8
"291","Whole",2003,"Clothing",41.7
"292","Whole",2004,"Clothing",37.3
"293","Whole",2005,"Clothing",34.9
"294","Whole",2006,"Clothing",26
"295","Whole",2007,"Clothing",26.7
"296","Whole",2008,"Clothing",26.6
"297","Whole",2009,"Clothing",32.3
"298","Whole",2010,"Clothing",37.2
"299","Whole",2011,"Clothing",35.1
"300","Whole",2012,"Clothing",40.8
"301","Whole",2013,"Clothing",38.5
"302","Whole",2014,"Clothing",44.6
"303","Whole",2015,"Clothing",41.4
"304","Whole",2016,"Clothing",40.7
"305","Japan",2001,"Clothing",35.2
"306","Japan",2002,"Clothing",36.4
"307","Japan",2003,"Clothing",30.4
"308","Japan",2004,"Clothing",31.2
"309","Japan",2005,"Clothing",28.6
"310","Japan",2006,"Clothing",20
"311","Japan",2007,"Clothing",18.8
"312","Japan",2008,"Clothing",18.5
"313","Japan",2009,"Clothing",25.4
"314","Japan",2010,"Clothing",24.5
"315","Japan",2011,"Clothing",26.2
"316","Japan",2012,"Clothing",29.9
"317","Japan",2013,"Clothing",32.1
"318","Japan",2014,"Clothing",34.7
"319","Japan",2015,"Clothing",33.4
"320","Japan",2016,"Clothing",36.8
"321","China",2001,"Clothing",43
"322","China",2002,"Clothing",48.2
"323","China",2003,"Clothing",42.6
"324","China",2004,"Clothing",35.8
"325","China",2005,"Clothing",30.8
"326","China",2006,"Clothing",29.3
"327","China",2007,"Clothing",32
"328","China",2008,"Clothing",32.7
"329","China",2009,"Clothing",43
"330","China",2010,"Clothing",50.9
"331","China",2011,"Clothing",43.7
"332","China",2012,"Clothing",51.3
"333","China",2013,"Clothing",40.8
"334","China",2014,"Clothing",47
"335","China",2015,"Clothing",39
"336","China",2016,"Clothing",38
"337","Hongkong",2001,"Clothing",57.6
"338","Hongkong",2002,"Clothing",56.8
"339","Hongkong",2003,"Clothing",48.5
"340","Hongkong",2004,"Clothing",43.7
"341","Hongkong",2005,"Clothing",37.4
"342","Hongkong",2006,"Clothing",44.6
"343","Hongkong",2007,"Clothing",37.1
"344","Hongkong",2008,"Clothing",42.6
"345","Hongkong",2009,"Clothing",51.9
"346","Hongkong",2010,"Clothing",53.9
"347","Hongkong",2011,"Clothing",52.4
"348","Hongkong",2012,"Clothing",51
"349","Hongkong",2013,"Clothing",53.2
"350","Hongkong",2014,"Clothing",58.2
"351","Hongkong",2015,"Clothing",60.1
"352","Hongkong",2016,"Clothing",60.2
"353","Singapore",2001,"Clothing",55.1
"354","Singapore",2002,"Clothing",64.1
"355","Singapore",2003,"Clothing",60.6
"356","Singapore",2004,"Clothing",48.5
"357","Singapore",2005,"Clothing",48.5
"358","Singapore",2006,"Clothing",39.8
"359","Singapore",2007,"Clothing",42.7
"360","Singapore",2008,"Clothing",36.3
"361","Singapore",2009,"Clothing",44.5
"362","Singapore",2010,"Clothing",56.1
"363","Singapore",2011,"Clothing",48.2
"364","Singapore",2012,"Clothing",54.3
"365","Singapore",2013,"Clothing",58.6
"366","Singapore",2014,"Clothing",57.7
"367","Singapore",2015,"Clothing",53.7
"368","Singapore",2016,"Clothing",55.7
"369","Taiwan",2001,"Clothing",33.3
"370","Taiwan",2002,"Clothing",36.9
"371","Taiwan",2003,"Clothing",36
"372","Taiwan",2004,"Clothing",38.3
"373","Taiwan",2005,"Clothing",35.9
"374","Taiwan",2006,"Clothing",25.9
"375","Taiwan",2007,"Clothing",29
"376","Taiwan",2008,"Clothing",30.3
"377","Taiwan",2009,"Clothing",38.4
"378","Taiwan",2010,"Clothing",48.3
"379","Taiwan",2011,"Clothing",42.3
"380","Taiwan",2012,"Clothing",51.9
"381","Taiwan",2013,"Clothing",46.5
"382","Taiwan",2014,"Clothing",56.1
"383","Taiwan",2015,"Clothing",51.3
"384","Taiwan",2016,"Clothing",44.6
"385","Thailand",2001,"Clothing",60.3
"386","Thailand",2002,"Clothing",42.3
"387","Thailand",2003,"Clothing",55.5
"388","Thailand",2004,"Clothing",56.4
"389","Thailand",2005,"Clothing",50.9
"390","Thailand",2006,"Clothing",43.8
"391","Thailand",2007,"Clothing",36
"392","Thailand",2008,"Clothing",40.6
"393","Thailand",2009,"Clothing",44.7
"394","Thailand",2010,"Clothing",56.9
"395","Thailand",2011,"Clothing",52.8
"396","Thailand",2012,"Clothing",56.4
"397","Thailand",2013,"Clothing",34
"398","Thailand",2014,"Clothing",47.6
"399","Thailand",2015,"Clothing",48.3
"400","Thailand",2016,"Clothing",52.7
"401","Malaysia",2001,"Clothing",NA
"402","Malaysia",2002,"Clothing",NA
"403","Malaysia",2003,"Clothing",NA
"404","Malaysia",2004,"Clothing",NA
"405","Malaysia",2005,"Clothing",46.6
"406","Malaysia",2006,"Clothing",40.6
"407","Malaysia",2007,"Clothing",41.9
"408","Malaysia",2008,"Clothing",40.9
"409","Malaysia",2009,"Clothing",42.2
"410","Malaysia",2010,"Clothing",50.5
"411","Malaysia",2011,"Clothing",55.2
"412","Malaysia",2012,"Clothing",49.8
"413","Malaysia",2013,"Clothing",57.6
"414","Malaysia",2014,"Clothing",62.4
"415","Malaysia",2015,"Clothing",60.9
"416","Malaysia",2016,"Clothing",62.8
"417","Australia",2001,"Clothing",47
"418","Australia",2002,"Clothing",51.5
"419","Australia",2003,"Clothing",46.2
"420","Australia",2004,"Clothing",41.8
"421","Australia",2005,"Clothing",42.4
"422","Australia",2006,"Clothing",29
"423","Australia",2007,"Clothing",30.5
"424","Australia",2008,"Clothing",32.9
"425","Australia",2009,"Clothing",27.6
"426","Australia",2010,"Clothing",48.8
"427","Australia",2011,"Clothing",54.9
"428","Australia",2012,"Clothing",49.7
"429","Australia",2013,"Clothing",30.1
"430","Australia",2014,"Clothing",40.8
"431","Australia",2015,"Clothing",39.3
"432","Australia",2016,"Clothing",34.7
"433","U.S.A.",2001,"Clothing",49.6
"434","U.S.A.",2002,"Clothing",58.2
"435","U.S.A.",2003,"Clothing",57.1
"436","U.S.A.",2004,"Clothing",45.1
"437","U.S.A.",2005,"Clothing",46.5
"438","U.S.A.",2006,"Clothing",31.9
"439","U.S.A.",2007,"Clothing",30
"440","U.S.A.",2008,"Clothing",28.5
"441","U.S.A.",2009,"Clothing",33.7
"442","U.S.A.",2010,"Clothing",41.9
"443","U.S.A.",2011,"Clothing",35.1
"444","U.S.A.",2012,"Clothing",32
"445","U.S.A.",2013,"Clothing",37.1
"446","U.S.A.",2014,"Clothing",38
"447","U.S.A.",2015,"Clothing",40.5
"448","U.S.A.",2016,"Clothing",36.2
"449","Canada",2001,"Clothing",66.5
"450","Canada",2002,"Clothing",59.8
"451","Canada",2003,"Clothing",62.1
"452","Canada",2004,"Clothing",50.6
"453","Canada",2005,"Clothing",46.8
"454","Canada",2006,"Clothing",34.2
"455","Canada",2007,"Clothing",33.4
"456","Canada",2008,"Clothing",36.5
"457","Canada",2009,"Clothing",37
"458","Canada",2010,"Clothing",35.4
"459","Canada",2011,"Clothing",32.8
"460","Canada",2012,"Clothing",35.8
"461","Canada",2013,"Clothing",44.5
"462","Canada",2014,"Clothing",39.6
"463","Canada",2015,"Clothing",40.2
"464","Canada",2016,"Clothing",40.6
"465","U.K.",2001,"Clothing",48.8
"466","U.K.",2002,"Clothing",44.8
"467","U.K.",2003,"Clothing",45.8
"468","U.K.",2004,"Clothing",39.8
"469","U.K.",2005,"Clothing",39.4
"470","U.K.",2006,"Clothing",15.9
"471","U.K.",2007,"Clothing",19
"472","U.K.",2008,"Clothing",19.6
"473","U.K.",2009,"Clothing",20.4
"474","U.K.",2010,"Clothing",42.1
"475","U.K.",2011,"Clothing",41.1
"476","U.K.",2012,"Clothing",42.2
"477","U.K.",2013,"Clothing",21.2
"478","U.K.",2014,"Clothing",22.4
"479","U.K.",2015,"Clothing",29.1
"480","U.K.",2016,"Clothing",29.1
"481","Germany",2001,"Clothing",39.5
"482","Germany",2002,"Clothing",36.4
"483","Germany",2003,"Clothing",33
"484","Germany",2004,"Clothing",30
"485","Germany",2005,"Clothing",30.5
"486","Germany",2006,"Clothing",13.9
"487","Germany",2007,"Clothing",17
"488","Germany",2008,"Clothing",13.6
"489","Germany",2009,"Clothing",14
"490","Germany",2010,"Clothing",25.7
"491","Germany",2011,"Clothing",24.2
"492","Germany",2012,"Clothing",26
"493","Germany",2013,"Clothing",23.7
"494","Germany",2014,"Clothing",25.1
"495","Germany",2015,"Clothing",22.4
"496","Germany",2016,"Clothing",27.2
"497","France",2001,"Clothing",35.8
"498","France",2002,"Clothing",32.6
"499","France",2003,"Clothing",31.3
"500","France",2004,"Clothing",30.9
"501","France",2005,"Clothing",26.4
"502","France",2006,"Clothing",15.5
"503","France",2007,"Clothing",24.5
"504","France",2008,"Clothing",20.9
"505","France",2009,"Clothing",22.5
"506","France",2010,"Clothing",19.8
"507","France",2011,"Clothing",22
"508","France",2012,"Clothing",21.1
"509","France",2013,"Clothing",26.9
"510","France",2014,"Clothing",29.5
"511","France",2015,"Clothing",37.6
"512","France",2016,"Clothing",30.5
"513","Russianfed.",2001,"Clothing",62.7
"514","Russianfed.",2002,"Clothing",67
"515","Russianfed.",2003,"Clothing",64.6
"516","Russianfed.",2004,"Clothing",57.8
"517","Russianfed.",2005,"Clothing",57.2
"518","Russianfed.",2006,"Clothing",37.3
"519","Russianfed.",2007,"Clothing",33.7
"520","Russianfed.",2008,"Clothing",38.9
"521","Russianfed.",2009,"Clothing",37
"522","Russianfed.",2010,"Clothing",28.7
"523","Russianfed.",2011,"Clothing",29
"524","Russianfed.",2012,"Clothing",34.6
"525","Russianfed.",2013,"Clothing",48
"526","Russianfed.",2014,"Clothing",51.8
"527","Russianfed.",2015,"Clothing",47.6
"528","Russianfed.",2016,"Clothing",53.1
"529","Middleeast",2001,"Clothing",NA
"530","Middleeast",2002,"Clothing",NA
"531","Middleeast",2003,"Clothing",NA
"532","Middleeast",2004,"Clothing",NA
"533","Middleeast",2005,"Clothing",35
"534","Middleeast",2006,"Clothing",38.2
"535","Middleeast",2007,"Clothing",37.4
"536","Middleeast",2008,"Clothing",33.1
"537","Middleeast",2009,"Clothing",39.3
"538","Middleeast",2010,"Clothing",46.1
"539","Middleeast",2011,"Clothing",52.1
"540","Middleeast",2012,"Clothing",49.7
"541","Middleeast",2013,"Clothing",49.1
"542","Middleeast",2014,"Clothing",62.9
"543","Middleeast",2015,"Clothing",51.5
"544","Middleeast",2016,"Clothing",58.1
"545","India",2001,"Clothing",NA
"546","India",2002,"Clothing",NA
"547","India",2003,"Clothing",NA
"548","India",2004,"Clothing",NA
"549","India",2005,"Clothing",NA
"550","India",2006,"Clothing",NA
"551","India",2007,"Clothing",NA
"552","India",2008,"Clothing",34.9
"553","India",2009,"Clothing",34.5
"554","India",2010,"Clothing",36.3
"555","India",2011,"Clothing",37.2
"556","India",2012,"Clothing",44.3
"557","India",2013,"Clothing",42.7
"558","India",2014,"Clothing",35.5
"559","India",2015,"Clothing",45.3
"560","India",2016,"Clothing",36.2
"561","Others",2001,"Clothing",48.6
"562","Others",2002,"Clothing",47.4
"563","Others",2003,"Clothing",49.5
"564","Others",2004,"Clothing",44.1
"565","Others",2005,"Clothing",41.1
"566","Others",2006,"Clothing",25
"567","Others",2007,"Clothing",30.2
"568","Others",2008,"Clothing",27.4
"569","Others",2009,"Clothing",29
"570","Others",2010,"Clothing",34.7
"571","Others",2011,"Clothing",30.6
"572","Others",2012,"Clothing",39.7
"573","Others",2013,"Clothing",32.6
"574","Others",2014,"Clothing",38.5
"575","Others",2015,"Clothing",48.1
"576","Others",2016,"Clothing",43.2
"577","Whole",2001,"Gimchi",42.1
"578","Whole",2002,"Gimchi",39.6
"579","Whole",2003,"Gimchi",34
"580","Whole",2004,"Gimchi",34.5
"581","Whole",2005,"Gimchi",34.1
"582","Whole",2006,"Gimchi",24.7
"583","Whole",2007,"Gimchi",21.7
"584","Whole",2008,"Gimchi",18.7
"585","Whole",2009,"Gimchi",18.7
"586","Whole",2010,"Gimchi",15.4
"587","Whole",2011,"Gimchi",14.4
"588","Whole",2012,"Gimchi",13.4
"589","Whole",2013,"Gimchi",12.8
"590","Whole",2014,"Gimchi",8.6
"591","Whole",2015,"Gimchi",7.8
"592","Whole",2016,"Gimchi",9
"593","Japan",2001,"Gimchi",57.3
"594","Japan",2002,"Gimchi",55.1
"595","Japan",2003,"Gimchi",51.1
"596","Japan",2004,"Gimchi",49.7
"597","Japan",2005,"Gimchi",47.6
"598","Japan",2006,"Gimchi",33.8
"599","Japan",2007,"Gimchi",27.4
"600","Japan",2008,"Gimchi",25.2
"601","Japan",2009,"Gimchi",26
"602","Japan",2010,"Gimchi",18
"603","Japan",2011,"Gimchi",13.7
"604","Japan",2012,"Gimchi",15.7
"605","Japan",2013,"Gimchi",18.1
"606","Japan",2014,"Gimchi",10.3
"607","Japan",2015,"Gimchi",6.8
"608","Japan",2016,"Gimchi",9.5
"609","China",2001,"Gimchi",16.9
"610","China",2002,"Gimchi",16.9
"611","China",2003,"Gimchi",23.9
"612","China",2004,"Gimchi",21
"613","China",2005,"Gimchi",21.7
"614","China",2006,"Gimchi",18.5
"615","China",2007,"Gimchi",15.4
"616","China",2008,"Gimchi",14
"617","China",2009,"Gimchi",12.1
"618","China",2010,"Gimchi",12.6
"619","China",2011,"Gimchi",15.8
"620","China",2012,"Gimchi",8
"621","China",2013,"Gimchi",9.3
"622","China",2014,"Gimchi",6.5
"623","China",2015,"Gimchi",6.5
"624","China",2016,"Gimchi",7.8
"625","Hongkong",2001,"Gimchi",23
"626","Hongkong",2002,"Gimchi",26.4
"627","Hongkong",2003,"Gimchi",22.3
"628","Hongkong",2004,"Gimchi",21.8
"629","Hongkong",2005,"Gimchi",30.6
"630","Hongkong",2006,"Gimchi",33.3
"631","Hongkong",2007,"Gimchi",33.7
"632","Hongkong",2008,"Gimchi",29.9
"633","Hongkong",2009,"Gimchi",28.5
"634","Hongkong",2010,"Gimchi",25.6
"635","Hongkong",2011,"Gimchi",25.3
"636","Hongkong",2012,"Gimchi",20.4
"637","Hongkong",2013,"Gimchi",13.5
"638","Hongkong",2014,"Gimchi",12
"639","Hongkong",2015,"Gimchi",11
"640","Hongkong",2016,"Gimchi",11.6
"641","Singapore",2001,"Gimchi",17.7
"642","Singapore",2002,"Gimchi",13.5
"643","Singapore",2003,"Gimchi",25.9
"644","Singapore",2004,"Gimchi",21.6
"645","Singapore",2005,"Gimchi",30.4
"646","Singapore",2006,"Gimchi",27.3
"647","Singapore",2007,"Gimchi",26.8
"648","Singapore",2008,"Gimchi",25.8
"649","Singapore",2009,"Gimchi",26
"650","Singapore",2010,"Gimchi",24.9
"651","Singapore",2011,"Gimchi",22.4
"652","Singapore",2012,"Gimchi",14.8
"653","Singapore",2013,"Gimchi",14.7
"654","Singapore",2014,"Gimchi",14
"655","Singapore",2015,"Gimchi",11.2
"656","Singapore",2016,"Gimchi",9.9
"657","Taiwan",2001,"Gimchi",42.9
"658","Taiwan",2002,"Gimchi",53
"659","Taiwan",2003,"Gimchi",57
"660","Taiwan",2004,"Gimchi",51.8
"661","Taiwan",2005,"Gimchi",55.2
"662","Taiwan",2006,"Gimchi",60.3
"663","Taiwan",2007,"Gimchi",51.5
"664","Taiwan",2008,"Gimchi",46.4
"665","Taiwan",2009,"Gimchi",50.4
"666","Taiwan",2010,"Gimchi",44.1
"667","Taiwan",2011,"Gimchi",35
"668","Taiwan",2012,"Gimchi",37.4
"669","Taiwan",2013,"Gimchi",29.6
"670","Taiwan",2014,"Gimchi",15.1
"671","Taiwan",2015,"Gimchi",18.2
"672","Taiwan",2016,"Gimchi",22.3
"673","Thailand",2001,"Gimchi",26.6
"674","Thailand",2002,"Gimchi",24.8
"675","Thailand",2003,"Gimchi",33.9
"676","Thailand",2004,"Gimchi",23.6
"677","Thailand",2005,"Gimchi",22.3
"678","Thailand",2006,"Gimchi",21.7
"679","Thailand",2007,"Gimchi",23
"680","Thailand",2008,"Gimchi",17.1
"681","Thailand",2009,"Gimchi",15
"682","Thailand",2010,"Gimchi",21.1
