,name,hood_area,buffer_area,pct_of_hood_in_buffer
89,Griffith Park,5.835412426294584,5.831311288543824,0.9992971983038799
92,Hansen Dam,1.9657360905652892,1.963417848364198,0.998820674752721
200,Sepulveda Basin,3.1358446172468533,2.9938538979250597,0.9547201036234838
74,Elysian Park,1.6436437355914855,1.2417098556569828,0.7554616786892314
257,Westlake,2.7173379730484815,1.7203851367870848,0.6331141557842538
151,Montecito Heights,2.410771275918763,1.469158267211112,0.6094142077627024
173,Pico-Union,1.670386048696434,0.9979830744084255,0.5974565431669221
93,Harbor City,2.5771340269150906,1.4742078263326357,0.5720338216547116
210,South Park,1.4068090372222013,0.7682884726967237,0.5461213657069895
249,Watts,2.1213968646615338,1.1439493384105772,0.5392434378812438
69,Echo Park,2.3944007687543203,1.2227639257223943,0.5106763837026889
238,Venice,3.1738907975968123,1.5624604299739226,0.4922855036969064
113,Koreatown,2.704201708941966,1.2836988011636286,0.4747052695510214
54,Cypress Park,0.7266852467252353,0.34094669485697665,0.46918070291564756
103,Historic South-Central,2.555177903051375,1.1765724731884752,0.4604659706016637
240,Vermont-Slauson,1.4402088143638883,0.6578874889952737,0.456800071235399
78,Fairfax,1.236944247935475,0.5379859335075048,0.4349314323628018
10,Arlington Heights,1.0295279471855765,0.44278928748277485,0.4300896237865414
241,Vermont Square,2.545512140511797,1.0643719107761156,0.41813664678185924
38,Central-Alameda,2.191376033195392,0.9065896589488458,0.4137079374856933
30,Broadway-Manchester,1.5608657181093801,0.645715174311196,0.4136904070731512
132,Lincoln Heights,2.5103833387870838,1.016959359835227,0.4051012226390017
102,Highland Park,3.412714906145615,1.3787630203793717,0.4040076766730488
232,University Park,1.1693073992422374,0.46507439218891683,0.3977349262395034
108,Hyde Park,2.885490696883062,1.1368472077785172,0.3939874798440875
199,Sawtelle,2.691683472388044,1.0561324476340552,0.39236873817747275
27,Boyle Heights,6.514474699198302,2.54726855023646,0.3910167231979483
45,Cheviot Hills,1.5366029134640395,0.5983093568536955,0.3893714840777552
166,Palms,1.9458933920981845,0.7531120679358773,0.3870263761591916
64,East Hollywood,2.380510867648083,0.9000047851516914,0.3780721177891054
177,Porter Ranch,5.585676275509915,2.098500815738261,0.3756932396778919
13,Atwater Village,1.7772602823910235,0.6623439345530657,0.3726769461488142
137,Los Feliz,2.6078420094609407,0.9649042715960048,0.3700010461122441
112,Jefferson Park,1.419474324318382,0.5249363433312194,0.3698103828565471
106,Hollywood,3.502331697762693,1.2836518004157502,0.3665134862114155
95,Harvard Heights,0.788851439967198,0.2855045779654982,0.3619243922244346
77,Exposition Park,1.8527220318322062,0.6701916167940891,0.36173349551595646
129,Leimert Park,1.197543363630122,0.4299346038071293,0.3590138084886257
174,Playa del Rey,2.75412130375404,0.9731962598532526,0.35335998400895596
104,Hollywood Hills,7.0510830741930395,2.491160186347236,0.35330177791620143
239,Vermont Knolls,1.1471227934864572,0.40413539299367723,0.3523035156204909
44,Chesterfield Square,0.6326410477622196,0.22153575920915258,0.3501760753475762
87,Green Meadows,2.215573375146357,0.7693810215966721,0.3472604564702571
35,Carthay,0.5021340670573868,0.17383150305938935,0.3461854402312896
235,Valley Village,2.084080516607235,0.7183116214789202,0.34466596456085624
