counsel,start,end,tenure,years,president,party,id
Samuel Rosenman,10/2/43,2/1/46,853,"2 years, 3 months",Franklin D. Roosevelt,d,1
Clark Clifford,2/1/46,1/31/50,1460,"3 years, 11 months",Harry S. Truman,d,2
Charles Murphy,1/31/50,1/20/53,1085,"2 years, 11 months",Harry S. Truman,d,3
Bernard Shanley,1/20/53,2/19/55,760,"2 years, 0 months",Dwight D. Eisenhower,r,4
Gerald Morgan,2/19/55,11/5/58,1355,"3 years, 8 months",Dwight D. Eisenhower,r,5
David Kendall,11/5/58,1/20/61,807,"2 years, 2 months",Dwight D. Eisenhower,r,6
Ted Sorensen,1/20/61,2/29/64,1135,"3 years, 1 months",John F. Kennedy,d,7
Mike Feldman,4/1/64,1/17/65,291,9 months,Lyndon B. Johnson,d,8
Lee White,1/17/65,2/11/66,390,"1 year, 0 months",Lyndon B. Johnson,d,9
Milton Semer,2/14/66,12/31/66,320,10 months,Lyndon B. Johnson,d,10
Harry McPherson,2/11/66,10/26/67,622,"1 year, 8 months",Lyndon B. Johnson,d,11
Larry Temple,10/26/67,1/20/69,452,"1 year, 2 months",Lyndon B. Johnson,d,12
John Ehrlichman,1/20/69,11/4/69,288,9 months,Richard Nixon,r,13
Charles Colson,11/6/69,7/9/70,245,8 months,Richard Nixon,r,14
John Dean,7/9/70,4/30/73,1026,"2 years, 9 months",Richard Nixon,r,15
Leonard Garment,4/30/73,8/9/74,466,"1 year, 3 months",Richard Nixon,r,16
William Casselman,8/9/74,9/19/75,406,"1 year, 1 months",Gerald Ford,r,17
Philip Buchen,9/19/75,1/20/77,489,"1 year, 4 months",Gerald Ford,r,18
Robert Lipshutz,1/20/77,10/1/79,984,"2 years, 8 months",Jimmy Carter,d,19
Lloyd Cutler,10/1/79,1/20/81,477,"1 year, 3 months",Jimmy Carter,d,20
Fred Fielding,1/20/81,5/23/86,1949,"5 years, 4 months",Ronald Reagan,r,21
Peter Wallison,5/23/86,3/20/87,301,9 months,Ronald Reagan,r,22
Arthur Culvahouse,3/20/87,1/20/89,672,"1 year, 10 months",Ronald Reagan,r,23
C. Boyden Gray,1/20/89,1/20/93,1461,"4 years, 0 months",George H. W. Bush,r,24
Bernard Nussbaum,1/20/93,3/8/94,412,"1 year, 1 months",Bill Clinton,d,25
Lloyd Cutler,3/8/94,10/1/94,207,6 months,Bill Clinton,d,26
Abner Mikva,10/1/94,11/1/95,396,"1 year, 1 months",Bill Clinton,d,27
Jack Quinn,11/1/95,2/1/97,458,"1 year, 3 months",Bill Clinton,d,28
Chuck Ruff,2/1/97,9/1/99,942,"2 years, 7 months",Bill Clinton,d,29
Beth Nolan,9/1/99,1/20/01,507,"1 year, 4 months",Bill Clinton,d,30
Alberto Gonzales,1/20/01,2/3/05,1475,"4 years, 0 months",George W. Bush,r,31
Harriet Miers,2/3/05,1/31/07,727,"1 year, 11 months",George W. Bush,r,32
Fred Fielding,1/31/07,1/20/09,720,"1 year, 11 months",George W. Bush,r,33
Greg Craig,1/20/09,1/3/10,348,11 months,Barack Obama,d,34
Bob Bauer,1/3/10,6/30/11,543,"1 year, 5 months",Barack Obama,d,35
Kathryn Ruemmler,6/30/11,6/2/14,1068,"2 years, 11 months",Barack Obama,d,36
Neil Eggleston,6/2/14,1/20/17,963,"2 years, 7 months",Barack Obama,d,37
Don McGahn,1/20/17,11/6/18,655,"1 year, 9 months",Donald Trump,r,38
